Using gpu: True

Test set: Average loss: 41.1458, Accuracy: 0/8 (0%)


Test set: Average loss: 25.3373, Accuracy: 0/8 (0%)


Test set: Average loss: 26.3710, Accuracy: 0/8 (0%)


Test set: Average loss: 40.7373, Accuracy: 0/8 (0%)


Test set: Average loss: 28.3942, Accuracy: 0/8 (0%)


Test set: Average loss: 26.0873, Accuracy: 0/8 (0%)


Test set: Average loss: 23.9912, Accuracy: 0/8 (0%)


Test set: Average loss: 28.2982, Accuracy: 0/8 (0%)


Test set: Average loss: 24.7696, Accuracy: 0/8 (0%)


Test set: Average loss: 33.7919, Accuracy: 0/8 (0%)


Test set: Average loss: 28.8950, Accuracy: 0/8 (0%)


Test set: Average loss: 50.6993, Accuracy: 0/8 (0%)


Test set: Average loss: 32.3456, Accuracy: 1/8 (12%)


Test set: Average loss: 27.6528, Accuracy: 0/8 (0%)


Test set: Average loss: 20.6760, Accuracy: 0/8 (0%)


Test set: Average loss: 29.7004, Accuracy: 0/8 (0%)


Test set: Average loss: 26.1007, Accuracy: 0/8 (0%)


Test set: Average loss: 23.1032, Accuracy: 0/8 (0%)


Test set: Average loss: 18.9276, Accuracy: 0/8 (0%)


Test set: Average loss: 31.5676, Accuracy: 0/8 (0%)


Test set: Average loss: 40.2461, Accuracy: 0/8 (0%)


Test set: Average loss: 24.2342, Accuracy: 0/8 (0%)


Test set: Average loss: 31.5916, Accuracy: 0/8 (0%)


Test set: Average loss: 27.4629, Accuracy: 1/8 (12%)


Test set: Average loss: 21.1592, Accuracy: 0/8 (0%)


Test set: Average loss: 35.3391, Accuracy: 0/8 (0%)


Test set: Average loss: 22.0194, Accuracy: 0/8 (0%)


Test set: Average loss: 18.2106, Accuracy: 1/8 (12%)


Test set: Average loss: 29.4528, Accuracy: 0/8 (0%)


Test set: Average loss: 22.7863, Accuracy: 0/8 (0%)


Test set: Average loss: 36.0069, Accuracy: 0/8 (0%)


Test set: Average loss: 37.8260, Accuracy: 0/8 (0%)


Test set: Average loss: 34.4683, Accuracy: 0/8 (0%)


Test set: Average loss: 21.7257, Accuracy: 0/8 (0%)


Test set: Average loss: 45.0553, Accuracy: 0/8 (0%)


Test set: Average loss: 44.4813, Accuracy: 0/8 (0%)


Test set: Average loss: 29.3817, Accuracy: 0/8 (0%)


Test set: Average loss: 34.6480, Accuracy: 0/8 (0%)


Test set: Average loss: 32.5184, Accuracy: 0/8 (0%)


Test set: Average loss: 26.0766, Accuracy: 0/8 (0%)


Test set: Average loss: 31.4788, Accuracy: 0/8 (0%)


Test set: Average loss: 33.8790, Accuracy: 0/8 (0%)


Test set: Average loss: 25.8648, Accuracy: 0/8 (0%)


Test set: Average loss: 27.3896, Accuracy: 0/8 (0%)


Test set: Average loss: 25.4717, Accuracy: 0/8 (0%)


Test set: Average loss: 35.6989, Accuracy: 0/8 (0%)


Test set: Average loss: 27.4861, Accuracy: 0/8 (0%)


Test set: Average loss: 40.4664, Accuracy: 1/8 (12%)


